,id,city,district,year,month,hour,weekday,injury_level,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude
80,49312,Berlin,1,2019,2,22,7,3,2,6,2,0,1,0,0,0,0,0,"13,39356","52,51736"
81,49321,Berlin,7,2019,2,8,5,2,6,2,0,0,1,1,0,0,0,0,"13,35569","52,47774"
82,49323,Berlin,1,2019,3,22,5,3,2,2,2,1,0,0,0,0,1,0,"13,40455","52,52"
83,49330,Berlin,4,2019,1,7,4,3,3,6,1,0,1,0,0,0,0,1,"13,28205","52,52694"
84,49337,Berlin,3,2019,2,14,7,3,5,3,0,1,1,0,0,0,0,0,"13,44804","52,54712"
85,49338,Berlin,2,2019,3,7,6,3,1,1,0,0,1,0,0,0,0,0,"13,38613","52,48923"
86,49345,Berlin,6,2019,1,12,4,2,2,6,0,0,1,0,0,0,0,1,"13,20645","52,42497"
87,49350,Berlin,4,2019,2,18,1,3,2,6,2,0,1,0,0,0,0,0,"13,32198","52,53733"
88,49354,Berlin,7,2019,1,7,2,3,2,6,2,0,1,0,0,0,0,1,"13,40166","52,41394"
89,49360,Berlin,4,2019,2,14,7,3,3,6,0,0,1,0,0,0,1,0,"13,27513","52,50967"
90,49370,Berlin,4,2019,2,19,4,3,2,6,2,0,1,0,0,0,0,0,"13,30352","52,51129"
91,49372,Berlin,4,2019,3,12,4,3,2,6,0,0,1,0,0,0,0,0,"13,28167","52,51008"
92,49379,Berlin,1,2019,1,12,3,3,3,6,0,1,1,0,0,0,0,0,"13,4079","52,51568"
93,49385,Berlin,4,2019,2,9,5,3,5,7,0,0,1,0,1,0,0,0,"13,30904","52,51165"
94,49389,Berlin,4,2019,1,6,7,3,5,2,1,0,1,0,0,0,1,0,"13,30518","52,5114"
95,49392,Berlin,12,2019,1,10,6,3,2,6,0,0,1,0,0,0,1,1,"13,30107","52,57614"
96,49395,Berlin,3,2019,2,12,6,2,5,2,0,0,1,0,0,0,1,0,"13,41412","52,55774"
97,49404,Berlin,3,2019,1,0,1,3,3,6,2,0,1,0,0,0,0,1,"13,41416","52,55673"
98,49409,Berlin,3,2019,2,17,6,3,3,6,1,1,1,0,0,0,0,0,"13,42809","52,54616"
99,49419,Berlin,4,2019,2,10,2,3,2,6,0,0,1,0,0,1,0,0,"13,28632","52,51479"
100,49421,Berlin,4,2019,3,8,2,3,3,6,0,0,1,0,0,1,0,0,"13,27959","52,49991"
101,49428,Berlin,1,2019,1,10,3,3,5,2,0,0,1,0,0,0,0,1,"13,36979","52,51583"
102,49434,Berlin,12,2019,2,11,4,3,2,2,0,0,1,0,0,0,0,0,"13,36073","52,57084"
103,49440,Berlin,1,2019,1,6,5,3,6,2,2,0,1,1,0,0,0,1,"13,40518","52,52009"
104,49443,Berlin,12,2019,2,16,5,3,2,6,0,0,1,0,0,0,0,0,"13,3649","52,56115"
105,49452,Berlin,12,2019,1,17,5,3,3,6,2,0,1,0,0,0,0,0,"13,36323","52,5657"
106,49454,Berlin,3,2019,3,23,6,3,5,2,2,0,1,0,0,0,0,0,"13,42423","52,53905"
107,49458,Berlin,1,2019,2,18,4,3,2,2,2,1,1,0,0,0,0,0,"13,41987","52,52543"
108,49465,Berlin,3,2019,2,18,6,3,1,5,2,1,0,0,0,0,1,0,"13,43213","52,53521"
109,49467,Berlin,6,2019,3,12,7,3,1,1,0,0,1,0,0,0,0,0,"13,1056","52,4138"
110,49471,Berlin,2,2019,2,15,4,3,3,6,0,1,1,0,0,0,0,0,"13,45416","52,51552"
111,49475,Berlin,4,2019,1,11,2,3,3,6,0,0,1,0,0,0,0,0,"13,29786","52,54675"
112,49481,Berlin,3,2019,2,15,3,3,5,3,0,1,1,0,0,0,0,0,"13,47096","52,56568"
113,49490,Berlin,7,2019,2,15,3,3,2,6,0,0,1,0,0,0,0,0,"13,35474","52,48547"
114,49493,Berlin,12,2019,3,14,6,3,0,7,0,0,1,0,0,0,0,0,"13,24868","52,62227"
115,49500,Berlin,2,2019,1,16,5,3,5,2,0,1,1,0,0,0,0,0,"13,45292","52,5127"
116,49502,Berlin,2,2019,2,15,5,3,6,7,0,1,0,1,0,0,0,0,"13,46806","52,51431"
117,49506,Berlin,4,2019,2,9,2,3,5,7,0,1,1,0,0,0,0,0,"13,2802","52,50982"
118,49510,Berlin,6,2019,1,19,3,3,0,6,2,0,0,0,1,0,1,1,"13,26225","52,43495"
119,49515,Berlin,4,2019,2,14,7,3,2,6,0,0,1,0,0,0,0,0,"13,29545","52,54038"
120,49522,Berlin,3,2019,1,8,3,3,3,6,0,0,1,0,0,1,0,0,"13,42265","52,52754"
121,49528,Berlin,7,2019,2,15,2,3,2,6,0,0,1,0,0,0,1,0,"13,36305","52,4738"
122,49537,Berlin,7,2019,2,7,6,3,3,6,1,0,1,0,0,0,0,1,"13,40639","52,39561"
123,49540,Berlin,1,2019,3,7,5,3,0,5,0,1,1,0,0,0,0,1,"13,41812","52,52382"
124,49547,Berlin,3,2019,1,14,4,3,1,5,0,1,1,0,0,0,0,0,"13,41334","52,55873"
125,49554,Berlin,3,2019,2,15,7,3,5,2,0,1,1,0,0,0,0,0,"13,41376","52,55076"
126,49558,Berlin,3,2019,1,15,2,2,6,4,0,0,1,1,0,0,0,0,"13,43861","52,54117"
127,49563,Berlin,1,2019,2,15,6,3,1,5,0,0,1,0,0,0,0,0,"13,36622","52,55414"
128,49573,Berlin,3,2019,2,17,4,3,5,7,2,1,0,0,0,0,1,0,"13,39933","52,57451"
129,49575,Berlin,4,2019,3,9,3,2,2,6,0,0,1,0,0,1,0,0,"13,28253","52,51976"
130,49582,Berlin,3,2019,1,17,3,3,5,3,1,1,1,0,0,0,0,1,"13,40251","52,59218"
131,49587,Berlin,3,2019,2,15,4,3,4,6,0,1,0,0,0,0,0,0,"13,41245","52,5448"
132,49589,Berlin,4,2019,3,10,4,3,0,6,0,1,1,0,0,0,0,1,"13,25689","52,50843"
133,49596,Berlin,7,2019,1,12,4,2,5,3,0,0,1,0,0,0,1,0,"13,3692","52,42064"
134,49603,Berlin,8,2019,2,18,6,3,3,6,1,0,1,0,0,1,0,0,"13,44181","52,46288"
135,49607,Berlin,6,2019,1,2,1,3,9,1,2,0,1,0,0,0,0,2,"13,33227","52,46383"
136,49610,Berlin,3,2019,1,21,5,2,0,5,2,0,1,0,1,0,0,1,"13,42232","52,53938"
137,49613,Berlin,3,2019,2,11,6,3,5,3,0,1,1,0,0,0,0,0,"13,40278","52,59315"
138,49623,Berlin,2,2019,2,19,1,3,2,6,2,0,1,0,0,0,0,1,"13,38605","52,48578"
139,49625,Berlin,3,2019,3,17,1,3,2,6,0,0,1,0,0,0,0,0,"13,4331","52,53629"
140,49632,Berlin,4,2019,1,16,2,3,2,6,0,0,1,0,0,0,0,0,"13,32388","52,51282"
141,49638,Berlin,6,2019,2,16,4,3,2,6,0,0,1,0,0,0,0,0,"13,26393","52,43518"
142,49644,Berlin,7,2019,1,19,5,3,2,6,2,0,1,0,0,0,0,1,"13,38836","52,43686"
143,49650,Berlin,5,2019,2,18,5,3,2,6,2,0,1,0,0,0,0,1,"13,20652","52,51111"
144,49654,Berlin,12,2019,1,21,7,3,3,6,2,0,1,0,1,0,0,0,"13,33292","52,59625"
145,49657,Berlin,7,2019,1,18,5,2,6,4,2,0,1,1,0,0,0,1,"13,35091","52,48063"
146,49660,Berlin,9,2019,2,18,5,3,5,2,2,1,1,0,0,0,0,0,"13,51205","52,45487"
147,49669,Berlin,3,2019,2,5,6,3,6,2,2,0,1,1,0,0,0,0,"13,44767","52,54699"
148,49671,Berlin,1,2019,3,22,7,3,2,2,2,0,1,0,0,0,0,0,"13,36835","52,50632"
149,49675,Berlin,1,2019,2,6,4,2,5,3,1,0,1,0,0,0,1,0,"13,3655","52,55797"
150,49679,Berlin,1,2019,1,2,1,2,6,4,2,0,1,1,0,0,0,1,"13,41281","52,5194"
151,49685,Berlin,1,2019,2,11,2,3,3,6,0,1,0,0,0,1,0,0,"13,38741","52,51021"
152,49694,Berlin,4,2019,2,23,2,3,3,6,2,0,1,0,0,0,0,0,"13,31003","52,48188"
153,49697,Berlin,10,2019,3,11,6,3,5,3,0,1,1,0,0,0,0,1,"13,60626","52,50495"
154,49704,Berlin,1,2019,1,14,4,3,2,6,0,0,1,0,0,0,0,0,"13,37207","52,50552"
155,49707,Berlin,7,2019,2,18,4,3,6,7,1,1,0,1,0,0,0,0,"13,38549","52,46886"
156,49710,Berlin,4,2019,3,10,7,3,2,6,0,0,1,0,0,0,0,1,"13,28262","52,49746"
157,49718,Berlin,2,2019,1,7,5,3,1,5,0,0,1,1,0,0,0,0,"13,47041","52,51422"
158,49720,Berlin,6,2019,2,14,5,3,2,6,0,0,1,0,0,0,0,0,"13,32054","52,45455"
159,49724,Berlin,4,2019,2,14,3,3,5,3,0,0,1,0,0,0,0,0,"13,24231","52,50753"
160,49728,Berlin,4,2019,1,13,3,3,2,6,0,0,1,0,0,1,0,0,"13,28388","52,52989"
161,49733,Berlin,7,2019,2,18,1,3,2,6,2,0,1,0,0,0,0,0,"13,35533","52,48557"
162,49742,Berlin,12,2019,2,11,5,3,2,2,0,0,1,0,0,0,0,0,"13,31178","52,62613"
163,49744,Berlin,9,2019,3,6,5,3,2,6,0,0,0,0,0,1,0,1,"13,49785","52,434"
164,49751,Berlin,7,2019,1,13,4,3,2,6,0,0,1,0,0,0,0,0,"13,36175","52,41357"
165,49758,Berlin,7,2019,2,14,7,3,0,1,0,0,0,0,1,0,0,0,"13,34606","52,47739"
166,49762,Berlin,1,2019,1,16,1,3,2,6,2,0,1,0,0,0,0,0,"13,3699","52,5418"
167,49767,Berlin,2,2019,2,15,6,2,0,1,0,1,0,0,0,0,0,0,"13,45377","52,51571"
168,49772,Berlin,3,2019,2,8,1,3,0,7,0,0,1,0,0,0,0,0,"13,43629","52,5345"
169,49776,Berlin,10,2019,1,14,2,3,2,6,0,0,1,0,0,0,0,1,"13,6246","52,50386"
170,49782,Berlin,3,2019,2,10,7,2,9,1,0,0,1,0,0,0,0,0,"13,4137","52,55041"
171,49792,Berlin,6,2019,2,8,4,3,2,6,0,0,1,0,0,1,0,0,"13,25987","52,4351"
172,49794,Berlin,2,2019,3,13,4,3,5,2,0,1,1,0,0,0,0,0,"13,46741","52,51437"
173,49801,Berlin,7,2019,1,16,4,3,2,6,1,0,1,0,0,0,0,0,"13,38819","52,46947"
174,49807,Berlin,1,2019,2,16,6,3,3,6,0,0,1,0,1,0,0,0,"13,35327","52,51466"
175,49811,Berlin,10,2019,1,10,7,1,6,4,0,0,1,1,0,0,0,1,"13,53666","52,53187"
176,49814,Berlin,4,2019,1,22,5,3,9,1,2,0,1,0,0,0,0,1,"13,28613","52,49457"
177,49817,Berlin,12,2019,2,14,6,3,5,3,0,1,1,0,0,0,0,0,"13,34134","52,58624"
178,49826,Berlin,2,2019,2,19,6,3,5,7,2,0,1,0,0,0,0,0,"13,45423","52,51577"
179,49828,Berlin,1,2019,3,12,7,3,0,6,0,0,1,0,0,0,1,0,"13,41671","52,52239"
